Name,Platform,Year,Score,User_Score,Developer,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
NBA 2K13,PlayStation3,2012,90,8,VisualConcepts,Sports,Take-Two Interactive,2.6,0.2,0.01,0.19,3
Total War: Shogun 2,PC,2011,90,8.4,CreativeAssembly,Strategy,Sega,0.19,0.31,0,0.09,0.6
Empire: Total War,PC,2009,90,7,CreativeAssembly,Strategy,Sega,0.01,0.97,0,0.1,1.08
Astro Bot: Rescue Mission,PlayStation4,2018,90,8.9,JapanStudio,Action,NA,NA,NA,NA,NA,NA
Bayonetta + Bayonetta 2,Switch,2018,90,8.7,PlatinumGames,Miscellaneous,NA,NA,NA,NA,NA,NA
Kentucky Route Zero - Act IV,PC,2016,90,6.3,CardboardComputer,Adventure,NA,NA,NA,NA,NA,NA
Guacamelee! Super Turbo Championship Edition,WiiU,2014,90,7.7,DrinkBoxStudios,Action,NA,NA,NA,NA,NA,NA
ESPN NHL Hockey,PlayStation2,2003,90,7,KushGames,Sports,Sega,0.11,0.09,0,0.03,0.23
Rayman 2 Revolution,PlayStation2,2001,90,8.6,Ubisoft,Action,NA,NA,NA,NA,NA,NA
Final Fantasy VIII,PlayStation,1999,90,8.7,SquareSoft,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
Beetle Adventure Racing,Nintendo64,1999,90,7.5,ParadigmEntertainment,Driving,NA,NA,NA,NA,NA,NA
Command & Conquer: Red Alert,PC,1996,90,8.8,WestwoodStudios,Strategy,Virgin Interactive,1.37,1.34,0,0.14,2.85
Star Wars Jedi Knight II: Jedi Outcast,PC,2002,89,8.7,RavenSoftware,Action,Activision,0.23,0.07,0,0.01,0.31
Wipeout HD Fury,PlayStation3,2009,89,8.2,StudioLiverpool,Driving,NA,NA,NA,NA,NA,NA
Halo 2 Multiplayer Map Pack,Xbox,2005,89,7.8,BungieSoftware,Action,Microsoft Game Studios,0.54,0.13,0,0.02,0.69
Shin Megami Tensei: Persona 3 Portable,PSP,2010,89,7.4,Atlus,Role-Playing,Ghostlight,0.18,0.06,0.34,0.05,0.63
Xenoblade Chronicles: Definitive Edition,Switch,2020,89,8.9,MonolithSoft,Role-Playing,NA,NA,NA,NA,NA,NA
Call of Duty 2,Xbox360,2005,89,8.2,InfinityWard,Action,Activision,1.82,0.04,0.01,0.16,2.03
Dragon Quest VIII: Journey of the Cursed King,PlayStation2,2005,89,8.7,Level5,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
Metroid: Zero Mission,GameBoyAdvance,2004,89,8.8,Nintendo,Action,Nintendo,0.6,0.22,0,0.01,0.84
The Legend of Zelda: Majora's Mask 3D,3DS,2015,89,8.9,GREZZO,Fantasy,Nintendo,1.15,0.55,0.47,0.17,2.34
Skylanders Swap Force,WiiU,2013,89,6.1,VicariousVisions,Action,NA,NA,NA,NA,NA,NA
Tiger Woods PGA Tour 2004,PlayStation2,2003,89,8.6,EASports,Sports,Electronic Arts,1.18,0.34,0,0.1,1.63
Age of Mythology,PC,2002,89,8.9,EnsembleStudios,Strategy,Microsoft Game Studios,0.02,0.06,0,0.01,0.09
Pikmin,GameCube,2001,89,8.7,Nintendo,Strategy,Nintendo,0.78,0.25,0.56,0.04,1.63
Sacrifice,PC,2000,89,8.7,ShinyEntertainment,Strategy,NA,NA,NA,NA,NA,NA
Samba de Amigo,Dreamcast,2000,89,8.4,SonicTeam,Miscellaneous,NA,NA,NA,NA,NA,NA
Wipeout 3,PlayStation,1999,89,8.8,Psygnosis,Driving,NA,NA,NA,NA,NA,NA
Plants vs. Zombies,Xbox360,2010,89,8.4,PopCap,Strategy,Mastertronic,0.9,0.12,0,0.08,1.1
Dark Souls III,PC,2016,89,8.4,FromSoftware,Role-Playing,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65
Rez HD,Xbox360,2008,89,8,HexaDrive,Action,NA,NA,NA,NA,NA,NA
NBA Street V3,PlayStation2,2005,89,8.4,EACanada,Sports,Electronic Arts,0.52,0.41,0,0.14,1.06
Demon's Souls,PlayStation3,2009,89,8.9,FromSoftware,Role-Playing,Namco Bandai Games,0.97,0.33,0.35,0.17,1.82
Pillars of Eternity,PC,2015,89,8.3,ObsidianEntertainment,PC-style,Paradox Interactive,0,0.02,0,0,0.02
The Elder Scrolls III: Morrowind,PC,2002,89,8.9,BethesdaSoftworks,Role-Playing,Ubisoft,2.09,0.63,0.03,0.11,2.86
F1 2019,XboxOne,2019,89,6.8,Codemasters,Racing,NA,NA,NA,NA,NA,NA
Fable II,Xbox360,2008,89,6.6,LionheadStudios,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27
Rez Infinite,PlayStation4,2016,89,7.6,"QEntertainment,MonstarsInc.,EnhanceGames",Action,NA,NA,NA,NA,NA,NA
Rocksmith 2014 Edition,PC,2013,89,7.9,Ubisoft,Action,NA,NA,NA,NA,NA,NA
NHL 2K3,PlayStation2,2002,89,7.8,Treyarch,Sports,Sega,0.1,0.08,0,0.03,0.21
Final Fantasy Chronicles,PlayStation,2001,89,9.1,TOSE,Role-Playing,Square,0.29,0.2,0,0.03,0.52
Fallout,PC,1997,89,8.8,BlackIsleStudios,Role-Playing,NA,NA,NA,NA,NA,NA
